bookid,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,myrating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,dateread,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
54455629,"The Disordered Cosmos: A Journey into Dark Matter, Spacetime, and Dreams Deferred",Chanda Prescod-Weinstein,"Prescod-Weinstein, Chanda",,1541724704,9781541724709,0,4.19,Bold Type Books,Hardcover,320,2021,2021,,2021/11/15,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
50358538,A Libertarian Walks Into a Bear: The Utopian Plot to Liberate an American Town (And Some Bears),Matthew Hongoltz-Hetling,"Hongoltz-Hetling, Matthew",,1541788516,9781541788510,5,3.86,PublicAffairs,Hardcover,288,2020,2020,2022/02/21,2022/02/14,,,read,"An entertaining look at a social experiment in Nrw Hampshire. I learned a lot about the libertarian principles (and their flaws when drawn to the extreme). I do wish the author did less to ""other"" the group, but it was fair enough to still be a great read. . ",,,2,,,0,,,,,
58009109,The Power Law: Inside Silicon Valley's Venture Capital Machine,Sebastian Mallaby,"Mallaby, Sebastian",,052555999X,9780525559993,0,4.63,Penguin Press,Hardcover,464,2022,,,2022/02/20,to-read,to-read (#473),to-read,,,,0,,,0,,,,,
57879701,Homelessness is a Housing Problem: How Structural Factors Explain US Problems,Greg Colburn,"Colburn, Greg",Clayton Page Aldern,,,0,0.0,University of California Press,,,2022,,,2022/02/20,to-read,to-read (#472),to-read,,,,0,,,0,,,,,
30038960,"Insomniac City: New York, Oliver, and Me",Bill Hayes,"Hayes, Bill",,1620404931,9781620404935,0,4.42,Bloomsbury USA,Hardcover,294,2017,2017,,2022/02/20,to-read,to-read (#471),to-read,,,,0,,,0,,,,,
41940285,"User Friendly: How the Hidden Rules of Design Are Changing the Way We Live, Work, and Play",Cliff Kuang,"Kuang, Cliff",Robert Fabricant,,,3,4.12,MCD,Hardcover,416,2019,2019,2022/02/16,2021/12/17,,,read,"I'm torn on this. In many ways, it feels like the worthy sequel to ""Design of Everyday Things."" However, outside of the first few chapters which were quite good, I found most of the insights and stories forgettable. A non-design-practitioner may find it more interesting!",,,1,,,0,,,,,
37702960,Regulatory Hacking: A Playbook for Startups,Evan Burfield,"Burfield, Evan",,0525533206,9780525533207,4,4.00,Portfolio,Hardcover,320,2018,,2022/02/13,2021/09/11,,,read,"Burfield covers how startups can navigate regulations in complex industires, or even use them as an advantage. Overall, I thought this was a solid overview. The best chapter with new learnings for me was about government procurement. My critique is that most of the content was just a slight tweak on normal startup tactics, so this would be an even better read for someone just entering entrepreneurship.",,,1,,,0,,,,,
56769581,Taste Makers: Seven Immigrant Women Who Revolutionized Food in America,Mayukh Sen,"Sen, Mayukh",,1324004517,9781324004516,0,3.76,W. W. Norton  Company,Hardcover,288,2021,2021,,2022/02/12,to-read,to-read (#470),to-read,,,,0,,,0,,,,,
57648017,The Storyteller: Tales of Life and Music,Dave Grohl,"Grohl, Dave",,0063076098,9780063076099,5,4.52, Dey Street Books ,Hardcover,376,2021,2021,2022/02/10,2022/01/04,,,read,"Fun, easy, Dave Grohl. These stories were simultaneously more prolific and more down to earth than I expected. ",,,1,,,0,,,,,
51204046,The Boy from the Woods (Wilde #1),Harlan Coben,"Coben, Harlan",,1538748142,9781538748145,0,3.93,Grand Central Publishing,Hardcover,371,2020,2020,,2022/02/10,to-read,to-read (#469),to-read,,,,0,,,0,,,,,
50416393,The 99% Invisible City: A Field Guide to the Hidden World of Everyday Design,Roman Mars,"Mars, Roman",Kurt Kohlstedt,0358126606,9780358126607,0,4.03,Mariner Books,Hardcover,384,2020,2020,,2022/02/10,to-read,to-read (#468),to-read,,,,0,,,0,,,,,
53263726,"Right of Way: Race, Class, and the Silent Epidemic of Pedestrian Deaths in America",Angie Schmitt,"Schmitt, Angie",Charles T. Brown,1642830836,9781642830835,0,4.44,Island Press,Paperback,248,2020,2020,,2022/02/10,to-read,to-read (#467),to-read,,,,0,,,0,,,,,
53263732,The Affordable City: Strategies for Putting Housing Within Reach (and Keeping it There),Shane Phillips,"Phillips, Shane",,1642831336,9781642831337,0,4.21,Island Press,Paperback,280,2020,,,2022/02/10,to-read,to-read (#466),to-read,,,,0,,,0,,,,,
3109,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,"Pollan, Michael",,1594200823,9781594200823,5,4.17,The Penguin Press,Hardcover,450,2006,2006,2022/02/09,2022/01/07,,,read,"Fantastic primer on meat and produce, carnivores and vegetarians, and ranchers and farmers. I found Pollan's neutrality, openness, and storytelling excellent, hooking me to both sides of the debate around the future of food and ag. ",,,1,,,0,,,,,
10054335,Rules of Civility,Amor Towles,"Towles, Amor",,,,0,4.05,Viking Adult,Hardcover,335,2011,2011,,2021/11/10,paused,paused (#42),paused,,,,0,,,0,,,,,
1972,Den of Thieves,James B. Stewart,"Stewart, James B.",,067179227X,9780671792275,0,4.13,Simon  Schuster,Paperback,592,1992,1991,,2022/02/05,to-read,to-read (#465),to-read,,,,0,,,0,,,,,
43889703,The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution,Gregory Zuckerman,"Zuckerman, Gregory",,0241309727,9780241309728,4,4.03,Portfolio Penguin,Paperback,359,2019,2019,2022/02/03,2022/01/29,,,read,"Loved the ups and downs of this entrepreneurial story. I do wish the author went into more technical depth on how the algorithms worked instead of chalking them up as vague ""better data"" or ""genius ideas.""",,,1,,,0,,,,,
64895,Cod: A Biography of the Fish that Changed the World,Mark Kurlansky,"Kurlansky, Mark",,0099268701,9780099268703,3,3.92,Vintage/Ebury,Paperback,294,1999,1997,2022/02/05,2021/12/01,,,read,"I liked this short microhistory for the most part, but I must admit my interest waned around 2/3 through. Maybe too micro.",,,1,,,0,,,,,
58763277,A Shot to Save the World: The Remarkable Race and Ground-Breaking Science Behind the Covid-19 Vaccines,Gregory Zuckerman,"Zuckerman, Gregory",,0241531705,9780241531709,5,4.27,Penguin Business,Hardcover,,2021,2021,2022/01/31,2022/01/02,,,read,"This was the perfect time to read the story of the Covid vaccine and the science and history behind vaccines in general, MRNA, and biotech startups. I loved it! The writing was narrative enough to flow but nonfiction packed enough to help me learn new information. I hope there's a sequel about post-Delta developments. ",,,1,,,0,,,,,
