company,image,link,type,round
Roboflow,/img/investing/roboflow.png,https://roboflow.com/,angel,Series A
HeadsUp AI,/img/investing/headsup.webp,https://headsup.ai/,angel,Seed
Homeboard,/img/investing/homeboard.jpg,https://www.yourhomeboard.com,angel,Seed
Stealth,https://em-content.zobj.net/thumbs/240/apple/354/department-store_1f3ec.png,#,angel,Seed
Stealth,https://em-content.zobj.net/thumbs/240/apple/354/articulated-lorry_1f69b.png,#,angel,Seed
Satsuma,https://pbs.twimg.com/profile_images/1600624380676960257/PRPht-uH_400x400.png,#,angel,Seed
Stealth,https://em-content.zobj.net/thumbs/240/apple/354/dna_1f9ec.png,#,angel,Pre-Seed
Stealth,https://em-content.zobj.net/thumbs/240/apple/354/spouting-whale_1f433.png,#,angel,Seed
Stealth,https://em-content.zobj.net/thumbs/240/apple/354/cityscape_1f3d9-fe0f.png,#,angel,Pre-Seed
Stealth,https://em-content.zobj.net/thumbs/240/apple/354/comet_2604-fe0f.png,#,angel,Seed
Stealth,https://em-content.zobj.net/thumbs/240/apple/354/steaming-bowl_1f35c.png,#,angel,Pre-Seed
Stealth,https://em-content.zobj.net/thumbs/240/apple/354/card-index_1f4c7.png,#,angel,Pre-Seed
